record_id,hospital_id,hospital_name,week_start_date,blood_type,component_type,quantity_issued,month,trend_index
68,1,Toril District Hospital,14/04/2025,O+,PRBC,13,4,68
69,1,Toril District Hospital,21/04/2025,O+,PRBC,14,4,69
70,1,Toril District Hospital,28/04/2025,O+,PRBC,14,4,70
71,1,Toril District Hospital,05/05/2025,O+,PRBC,15,5,71
72,1,Toril District Hospital,12/05/2025,O+,PRBC,17,5,72
73,1,Toril District Hospital,19/05/2025,O+,PRBC,13,5,73
74,1,Toril District Hospital,26/05/2025,O+,PRBC,17,5,74
75,1,Toril District Hospital,02/06/2025,O+,PRBC,14,6,75
76,1,Toril District Hospital,09/06/2025,O+,PRBC,15,6,76
77,1,Toril District Hospital,16/06/2025,O+,PRBC,15,6,77
78,1,Toril District Hospital,23/06/2025,O+,PRBC,15,6,78
79,1,Toril District Hospital,30/06/2025,O+,PRBC,15,6,79
80,1,Toril District Hospital,07/07/2025,O+,PRBC,18,7,80
81,1,Toril District Hospital,14/07/2025,O+,PRBC,17,7,81
82,1,Toril District Hospital,21/07/2025,O+,PRBC,14,7,82
83,1,Toril District Hospital,28/07/2025,O+,PRBC,18,7,83
84,1,Toril District Hospital,04/08/2025,O+,PRBC,16,8,84
85,1,Toril District Hospital,11/08/2025,O+,PRBC,16,8,85
86,1,Toril District Hospital,18/08/2025,O+,PRBC,13,8,86
87,1,Toril District Hospital,25/08/2025,O+,PRBC,14,8,87
88,1,Toril District Hospital,01/09/2025,O+,PRBC,14,9,88
89,1,Toril District Hospital,08/09/2025,O+,PRBC,15,9,89
90,1,Toril District Hospital,15/09/2025,O+,PRBC,16,9,90
91,1,Toril District Hospital,22/09/2025,O+,PRBC,16,9,91
92,1,Toril District Hospital,29/09/2025,O+,PRBC,18,9,92
93,1,Toril District Hospital,06/10/2025,O+,PRBC,13,10,93
94,1,Toril District Hospital,13/10/2025,O+,PRBC,15,10,94
95,1,Toril District Hospital,20/10/2025,O+,PRBC,12,10,95
96,1,Toril District Hospital,27/10/2025,O+,PRBC,13,10,96
97,1,Toril District Hospital,03/11/2025,O+,PRBC,18,11,97
98,1,Toril District Hospital,10/11/2025,O+,PRBC,14,11,98
99,1,Toril District Hospital,17/11/2025,O+,PRBC,13,11,99
100,1,Toril District Hospital,24/11/2025,O+,PRBC,11,11,100
101,1,Toril District Hospital,01/12/2025,O+,PRBC,15,12,101
102,1,Toril District Hospital,08/12/2025,O+,PRBC,17,12,102
103,1,Toril District Hospital,15/12/2025,O+,PRBC,14,12,103
104,1,Toril District Hospital,22/12/2025,O+,PRBC,17,12,104
105,1,Toril District Hospital,01/01/2024,O+,Platelet Concentrate,5,1,1
106,1,Toril District Hospital,08/01/2024,O+,Platelet Concentrate,4,1,2
107,1,Toril District Hospital,15/01/2024,O+,Platelet Concentrate,3,1,3
108,1,Toril District Hospital,22/01/2024,O+,Platelet Concentrate,3,1,4
109,1,Toril District Hospital,29/01/2024,O+,Platelet Concentrate,3,1,5
110,1,Toril District Hospital,05/02/2024,O+,Platelet Concentrate,4,2,6
111,1,Toril District Hospital,12/02/2024,O+,Platelet Concentrate,4,2,7
112,1,Toril District Hospital,19/02/2024,O+,Platelet Concentrate,4,2,8
113,1,Toril District Hospital,26/02/2024,O+,Platelet Concentrate,5,2,9
114,1,Toril District Hospital,04/03/2024,O+,Platelet Concentrate,3,3,10
115,1,Toril District Hospital,11/03/2024,O+,Platelet Concentrate,4,3,11
116,1,Toril District Hospital,18/03/2024,O+,Platelet Concentrate,3,3,12
117,1,Toril District Hospital,25/03/2024,O+,Platelet Concentrate,4,3,13
118,1,Toril District Hospital,01/04/2024,O+,Platelet Concentrate,4,4,14
119,1,Toril District Hospital,08/04/2024,O+,Platelet Concentrate,4,4,15
120,1,Toril District Hospital,15/04/2024,O+,Platelet Concentrate,3,4,16
121,1,Toril District Hospital,22/04/2024,O+,Platelet Concentrate,4,4,17
122,1,Toril District Hospital,29/04/2024,O+,Platelet Concentrate,4,4,18
123,1,Toril District Hospital,06/05/2024,O+,Platelet Concentrate,5,5,19
124,1,Toril District Hospital,13/05/2024,O+,Platelet Concentrate,3,5,20
125,1,Toril District Hospital,20/05/2024,O+,Platelet Concentrate,4,5,21
126,1,Toril District Hospital,27/05/2024,O+,Platelet Concentrate,4,5,22
127,1,Toril District Hospital,03/06/2024,O+,Platelet Concentrate,3,6,23
128,1,Toril District Hospital,10/06/2024,O+,Platelet Concentrate,5,6,24
129,1,Toril District Hospital,17/06/2024,O+,Platelet Concentrate,4,6,25
130,1,Toril District Hospital,24/06/2024,O+,Platelet Concentrate,4,6,26
131,1,Toril District Hospital,01/07/2024,O+,Platelet Concentrate,4,7,27
132,1,Toril District Hospital,08/07/2024,O+,Platelet Concentrate,4,7,28
133,1,Toril District Hospital,15/07/2024,O+,Platelet Concentrate,4,7,29
134,1,Toril District Hospital,22/07/2024,O+,Platelet Concentrate,3,7,30
135,1,Toril District Hospital,29/07/2024,O+,Platelet Concentrate,4,7,31
136,1,Toril District Hospital,05/08/2024,O+,Platelet Concentrate,4,8,32
137,1,Toril District Hospital,12/08/2024,O+,Platelet Concentrate,4,8,33
138,1,Toril District Hospital,19/08/2024,O+,Platelet Concentrate,4,8,34
139,1,Toril District Hospital,26/08/2024,O+,Platelet Concentrate,3,8,35
140,1,Toril District Hospital,02/09/2024,O+,Platelet Concentrate,3,9,36
141,1,Toril District Hospital,09/09/2024,O+,Platelet Concentrate,4,9,37
142,1,Toril District Hospital,16/09/2024,O+,Platelet Concentrate,4,9,38
143,1,Toril District Hospital,23/09/2024,O+,Platelet Concentrate,3,9,39
144,1,Toril District Hospital,30/09/2024,O+,Platelet Concentrate,3,9,40
145,1,Toril District Hospital,07/10/2024,O+,Platelet Concentrate,4,10,41
146,1,Toril District Hospital,14/10/2024,O+,Platelet Concentrate,4,10,42
147,1,Toril District Hospital,21/10/2024,O+,Platelet Concentrate,3,10,43
148,1,Toril District Hospital,28/10/2024,O+,Platelet Concentrate,4,10,44
149,1,Toril District Hospital,04/11/2024,O+,Platelet Concentrate,4,11,45
150,1,Toril District Hospital,11/11/2024,O+,Platelet Concentrate,5,11,46
151,1,Toril District Hospital,18/11/2024,O+,Platelet Concentrate,4,11,47
152,1,Toril District Hospital,25/11/2024,O+,Platelet Concentrate,4,11,48
153,1,Toril District Hospital,02/12/2024,O+,Platelet Concentrate,5,12,49
154,1,Toril District Hospital,09/12/2024,O+,Platelet Concentrate,4,12,50
155,1,Toril District Hospital,16/12/2024,O+,Platelet Concentrate,6,12,51
156,1,Toril District Hospital,23/12/2024,O+,Platelet Concentrate,4,12,52
157,1,Toril District Hospital,30/12/2024,O+,Platelet Concentrate,5,12,53
158,1,Toril District Hospital,06/01/2025,O+,Platelet Concentrate,5,1,54
159,1,Toril District Hospital,13/01/2025,O+,Platelet Concentrate,4,1,55
160,1,Toril District Hospital,20/01/2025,O+,Platelet Concentrate,5,1,56
161,1,Toril District Hospital,27/01/2025,O+,Platelet Concentrate,4,1,57
162,1,Toril District Hospital,03/02/2025,O+,Platelet Concentrate,4,2,58
163,1,Toril District Hospital,10/02/2025,O+,Platelet Concentrate,4,2,59
164,1,Toril District Hospital,17/02/2025,O+,Platelet Concentrate,3,2,60
165,1,Toril District Hospital,24/02/2025,O+,Platelet Concentrate,4,2,61
166,1,Toril District Hospital,03/03/2025,O+,Platelet Concentrate,4,3,62
167,1,Toril District Hospital,10/03/2025,O+,Platelet Concentrate,4,3,63
168,1,Toril District Hospital,17/03/2025,O+,Platelet Concentrate,4,3,64
169,1,Toril District Hospital,24/03/2025,O+,Platelet Concentrate,4,3,65
170,1,Toril District Hospital,31/03/2025,O+,Platelet Concentrate,4,3,66
171,1,Toril District Hospital,07/04/2025,O+,Platelet Concentrate,4,4,67
172,1,Toril District Hospital,14/04/2025,O+,Platelet Concentrate,5,4,68
173,1,Toril District Hospital,21/04/2025,O+,Platelet Concentrate,4,4,69
174,1,Toril District Hospital,28/04/2025,O+,Platelet Concentrate,4,4,70
175,1,Toril District Hospital,05/05/2025,O+,Platelet Concentrate,4,5,71
176,1,Toril District Hospital,12/05/2025,O+,Platelet Concentrate,4,5,72
177,1,Toril District Hospital,19/05/2025,O+,Platelet Concentrate,5,5,73
178,1,Toril District Hospital,26/05/2025,O+,Platelet Concentrate,4,5,74
179,1,Toril District Hospital,02/06/2025,O+,Platelet Concentrate,3,6,75
180,1,Toril District Hospital,09/06/2025,O+,Platelet Concentrate,3,6,76
181,1,Toril District Hospital,16/06/2025,O+,Platelet Concentrate,4,6,77
182,1,Toril District Hospital,23/06/2025,O+,Platelet Concentrate,3,6,78
183,1,Toril District Hospital,30/06/2025,O+,Platelet Concentrate,4,6,79
184,1,Toril District Hospital,07/07/2025,O+,Platelet Concentrate,3,7,80
185,1,Toril District Hospital,14/07/2025,O+,Platelet Concentrate,4,7,81
186,1,Toril District Hospital,21/07/2025,O+,Platelet Concentrate,5,7,82
187,1,Toril District Hospital,28/07/2025,O+,Platelet Concentrate,4,7,83
188,1,Toril District Hospital,04/08/2025,O+,Platelet Concentrate,4,8,84
189,1,Toril District Hospital,11/08/2025,O+,Platelet Concentrate,4,8,85
190,1,Toril District Hospital,18/08/2025,O+,Platelet Concentrate,4,8,86
191,1,Toril District Hospital,25/08/2025,O+,Platelet Concentrate,5,8,87
192,1,Toril District Hospital,01/09/2025,O+,Platelet Concentrate,4,9,88
193,1,Toril District Hospital,08/09/2025,O+,Platelet Concentrate,4,9,89
194,1,Toril District Hospital,15/09/2025,O+,Platelet Concentrate,4,9,90
195,1,Toril District Hospital,22/09/2025,O+,Platelet Concentrate,5,9,91
196,1,Toril District Hospital,29/09/2025,O+,Platelet Concentrate,5,9,92
197,1,Toril District Hospital,06/10/2025,O+,Platelet Concentrate,5,10,93
198,1,Toril District Hospital,13/10/2025,O+,Platelet Concentrate,4,10,94
199,1,Toril District Hospital,20/10/2025,O+,Platelet Concentrate,3,10,95
200,1,Toril District Hospital,27/10/2025,O+,Platelet Concentrate,4,10,96
201,1,Toril District Hospital,03/11/2025,O+,Platelet Concentrate,3,11,97
202,1,Toril District Hospital,10/11/2025,O+,Platelet Concentrate,4,11,98
203,1,Toril District Hospital,17/11/2025,O+,Platelet Concentrate,5,11,99
204,1,Toril District Hospital,24/11/2025,O+,Platelet Concentrate,4,11,100
205,1,Toril District Hospital,01/12/2025,O+,Platelet Concentrate,4,12,101
206,1,Toril District Hospital,08/12/2025,O+,Platelet Concentrate,5,12,102
207,1,Toril District Hospital,15/12/2025,O+,Platelet Concentrate,4,12,103
208,1,Toril District Hospital,22/12/2025,O+,Platelet Concentrate,4,12,104
209,1,Toril District Hospital,01/01/2024,O+,FFP,6,1,1
210,1,Toril District Hospital,08/01/2024,O+,FFP,5,1,2
211,1,Toril District Hospital,15/01/2024,O+,FFP,5,1,3
212,1,Toril District Hospital,22/01/2024,O+,FFP,4,1,4
213,1,Toril District Hospital,29/01/2024,O+,FFP,6,1,5
214,1,Toril District Hospital,05/02/2024,O+,FFP,5,2,6
215,1,Toril District Hospital,12/02/2024,O+,FFP,6,2,7
216,1,Toril District Hospital,19/02/2024,O+,FFP,6,2,8
217,1,Toril District Hospital,26/02/2024,O+,FFP,4,2,9
218,1,Toril District Hospital,04/03/2024,O+,FFP,5,3,10
219,1,Toril District Hospital,11/03/2024,O+,FFP,6,3,11
220,1,Toril District Hospital,18/03/2024,O+,FFP,5,3,12
221,1,Toril District Hospital,25/03/2024,O+,FFP,5,3,13
222,1,Toril District Hospital,01/04/2024,O+,FFP,5,4,14
223,1,Toril District Hospital,08/04/2024,O+,FFP,5,4,15
224,1,Toril District Hospital,15/04/2024,O+,FFP,5,4,16
225,1,Toril District Hospital,22/04/2024,O+,FFP,5,4,17
226,1,Toril District Hospital,29/04/2024,O+,FFP,6,4,18
227,1,Toril District Hospital,06/05/2024,O+,FFP,5,5,19
228,1,Toril District Hospital,13/05/2024,O+,FFP,4,5,20
229,1,Toril District Hospital,20/05/2024,O+,FFP,5,5,21
230,1,Toril District Hospital,27/05/2024,O+,FFP,5,5,22
231,1,Toril District Hospital,03/06/2024,O+,FFP,5,6,23
232,1,Toril District Hospital,10/06/2024,O+,FFP,6,6,24
233,1,Toril District Hospital,17/06/2024,O+,FFP,6,6,25
234,1,Toril District Hospital,24/06/2024,O+,FFP,6,6,26
235,1,Toril District Hospital,01/07/2024,O+,FFP,5,7,27
236,1,Toril District Hospital,08/07/2024,O+,FFP,5,7,28
237,1,Toril District Hospital,15/07/2024,O+,FFP,6,7,29
238,1,Toril District Hospital,22/07/2024,O+,FFP,5,7,30
239,1,Toril District Hospital,29/07/2024,O+,FFP,5,7,31
240,1,Toril District Hospital,05/08/2024,O+,FFP,4,8,32
241,1,Toril District Hospital,12/08/2024,O+,FFP,6,8,33
242,1,Toril District Hospital,19/08/2024,O+,FFP,5,8,34
243,1,Toril District Hospital,26/08/2024,O+,FFP,6,8,35
244,1,Toril District Hospital,02/09/2024,O+,FFP,5,9,36
245,1,Toril District Hospital,09/09/2024,O+,FFP,5,9,37
246,1,Toril District Hospital,16/09/2024,O+,FFP,4,9,38
247,1,Toril District Hospital,23/09/2024,O+,FFP,4,9,39
248,1,Toril District Hospital,30/09/2024,O+,FFP,3,9,40
249,1,Toril District Hospital,07/10/2024,O+,FFP,5,10,41
250,1,Toril District Hospital,14/10/2024,O+,FFP,7,10,42
251,1,Toril District Hospital,21/10/2024,O+,FFP,4,10,43
252,1,Toril District Hospital,28/10/2024,O+,FFP,3,10,44
253,1,Toril District Hospital,04/11/2024,O+,FFP,6,11,45
254,1,Toril District Hospital,11/11/2024,O+,FFP,7,11,46
255,1,Toril District Hospital,18/11/2024,O+,FFP,5,11,47
256,1,Toril District Hospital,25/11/2024,O+,FFP,5,11,48
257,1,Toril District Hospital,02/12/2024,O+,FFP,6,12,49
258,1,Toril District Hospital,09/12/2024,O+,FFP,5,12,50
259,1,Toril District Hospital,16/12/2024,O+,FFP,5,12,51
260,1,Toril District Hospital,23/12/2024,O+,FFP,6,12,52
261,1,Toril District Hospital,30/12/2024,O+,FFP,6,12,53
262,1,Toril District Hospital,06/01/2025,O+,FFP,5,1,54
263,1,Toril District Hospital,13/01/2025,O+,FFP,6,1,55
264,1,Toril District Hospital,20/01/2025,O+,FFP,5,1,56
265,1,Toril District Hospital,27/01/2025,O+,FFP,6,1,57
266,1,Toril District Hospital,03/02/2025,O+,FFP,5,2,58
267,1,Toril District Hospital,10/02/2025,O+,FFP,6,2,59
268,1,Toril District Hospital,17/02/2025,O+,FFP,5,2,60
269,1,Toril District Hospital,24/02/2025,O+,FFP,5,2,61
270,1,Toril District Hospital,03/03/2025,O+,FFP,5,3,62
271,1,Toril District Hospital,10/03/2025,O+,FFP,5,3,63
272,1,Toril District Hospital,17/03/2025,O+,FFP,5,3,64
273,1,Toril District Hospital,24/03/2025,O+,FFP,6,3,65
274,1,Toril District Hospital,31/03/2025,O+,FFP,5,3,66
275,1,Toril District Hospital,07/04/2025,O+,FFP,5,4,67
276,1,Toril District Hospital,14/04/2025,O+,FFP,5,4,68
277,1,Toril District Hospital,21/04/2025,O+,FFP,6,4,69
278,1,Toril District Hospital,28/04/2025,O+,FFP,6,4,70
279,1,Toril District Hospital,05/05/2025,O+,FFP,4,5,71
280,1,Toril District Hospital,12/05/2025,O+,FFP,6,5,72
281,1,Toril District Hospital,19/05/2025,O+,FFP,4,5,73
282,1,Toril District Hospital,26/05/2025,O+,FFP,6,5,74
283,1,Toril District Hospital,02/06/2025,O+,FFP,6,6,75
284,1,Toril District Hospital,09/06/2025,O+,FFP,6,6,76
285,1,Toril District Hospital,16/06/2025,O+,FFP,5,6,77
286,1,Toril District Hospital,23/06/2025,O+,FFP,6,6,78
287,1,Toril District Hospital,30/06/2025,O+,FFP,6,6,79
288,1,Toril District Hospital,07/07/2025,O+,FFP,6,7,80
289,1,Toril District Hospital,14/07/2025,O+,FFP,5,7,81
290,1,Toril District Hospital,21/07/2025,O+,FFP,6,7,82
291,1,Toril District Hospital,28/07/2025,O+,FFP,6,7,83
292,1,Toril District Hospital,04/08/2025,O+,FFP,7,8,84
293,1,Toril District Hospital,11/08/2025,O+,FFP,5,8,85
294,1,Toril District Hospital,18/08/2025,O+,FFP,6,8,86
295,1,Toril District Hospital,25/08/2025,O+,FFP,6,8,87
296,1,Toril District Hospital,01/09/2025,O+,FFP,5,9,88
297,1,Toril District Hospital,08/09/2025,O+,FFP,7,9,89
298,1,Toril District Hospital,15/09/2025,O+,FFP,5,9,90
299,1,Toril District Hospital,22/09/2025,O+,FFP,6,9,91
300,1,Toril District Hospital,29/09/2025,O+,FFP,6,9,92
301,1,Toril District Hospital,06/10/2025,O+,FFP,6,10,93
302,1,Toril District Hospital,13/10/2025,O+,FFP,7,10,94
303,1,Toril District Hospital,20/10/2025,O+,FFP,5,10,95
304,1,Toril District Hospital,27/10/2025,O+,FFP,5,10,96
305,1,Toril District Hospital,03/11/2025,O+,FFP,7,11,97
306,1,Toril District Hospital,10/11/2025,O+,FFP,6,11,98
307,1,Toril District Hospital,17/11/2025,O+,FFP,6,11,99
308,1,Toril District Hospital,24/11/2025,O+,FFP,6,11,100
309,1,Toril District Hospital,01/12/2025,O+,FFP,6,12,101
310,1,Toril District Hospital,08/12/2025,O+,FFP,8,12,102
311,1,Toril District Hospital,15/12/2025,O+,FFP,6,12,103
312,1,Toril District Hospital,22/12/2025,O+,FFP,6,12,104
313,1,Toril District Hospital,01/01/2024,O+,Cryoprecipitate,2,1,1
314,1,Toril District Hospital,08/01/2024,O+,Cryoprecipitate,2,1,2
315,1,Toril District Hospital,15/01/2024,O+,Cryoprecipitate,1,1,3
316,1,Toril District Hospital,22/01/2024,O+,Cryoprecipitate,2,1,4
317,1,Toril District Hospital,29/01/2024,O+,Cryoprecipitate,2,1,5
318,1,Toril District Hospital,05/02/2024,O+,Cryoprecipitate,1,2,6
319,1,Toril District Hospital,12/02/2024,O+,Cryoprecipitate,1,2,7
320,1,Toril District Hospital,19/02/2024,O+,Cryoprecipitate,1,2,8
321,1,Toril District Hospital,26/02/2024,O+,Cryoprecipitate,1,2,9
322,1,Toril District Hospital,04/03/2024,O+,Cryoprecipitate,2,3,10
323,1,Toril District Hospital,11/03/2024,O+,Cryoprecipitate,2,3,11
324,1,Toril District Hospital,18/03/2024,O+,Cryoprecipitate,1,3,12
325,1,Toril District Hospital,25/03/2024,O+,Cryoprecipitate,2,3,13
326,1,Toril District Hospital,01/04/2024,O+,Cryoprecipitate,2,4,14
327,1,Toril District Hospital,08/04/2024,O+,Cryoprecipitate,1,4,15
328,1,Toril District Hospital,15/04/2024,O+,Cryoprecipitate,1,4,16
329,1,Toril District Hospital,22/04/2024,O+,Cryoprecipitate,2,4,17
330,1,Toril District Hospital,29/04/2024,O+,Cryoprecipitate,1,4,18
331,1,Toril District Hospital,06/05/2024,O+,Cryoprecipitate,1,5,19
332,1,Toril District Hospital,13/05/2024,O+,Cryoprecipitate,2,5,20
333,1,Toril District Hospital,20/05/2024,O+,Cryoprecipitate,1,5,21
334,1,Toril District Hospital,27/05/2024,O+,Cryoprecipitate,2,5,22
335,1,Toril District Hospital,03/06/2024,O+,Cryoprecipitate,2,6,23
336,1,Toril District Hospital,10/06/2024,O+,Cryoprecipitate,1,6,24
337,1,Toril District Hospital,17/06/2024,O+,Cryoprecipitate,1,6,25
338,1,Toril District Hospital,24/06/2024,O+,Cryoprecipitate,2,6,26
339,1,Toril District Hospital,01/07/2024,O+,Cryoprecipitate,1,7,27
340,1,Toril District Hospital,08/07/2024,O+,Cryoprecipitate,2,7,28
341,1,Toril District Hospital,15/07/2024,O+,Cryoprecipitate,2,7,29
342,1,Toril District Hospital,22/07/2024,O+,Cryoprecipitate,1,7,30
343,1,Toril District Hospital,29/07/2024,O+,Cryoprecipitate,2,7,31
344,1,Toril District Hospital,05/08/2024,O+,Cryoprecipitate,1,8,32
345,1,Toril District Hospital,12/08/2024,O+,Cryoprecipitate,1,8,33
346,1,Toril District Hospital,19/08/2024,O+,Cryoprecipitate,2,8,34
347,1,Toril District Hospital,26/08/2024,O+,Cryoprecipitate,2,8,35
348,1,Toril District Hospital,02/09/2024,O+,Cryoprecipitate,2,9,36
349,1,Toril District Hospital,09/09/2024,O+,Cryoprecipitate,2,9,37
350,1,Toril District Hospital,16/09/2024,O+,Cryoprecipitate,2,9,38
351,1,Toril District Hospital,23/09/2024,O+,Cryoprecipitate,1,9,39
352,1,Toril District Hospital,30/09/2024,O+,Cryoprecipitate,2,9,40
353,1,Toril District Hospital,07/10/2024,O+,Cryoprecipitate,1,10,41
354,1,Toril District Hospital,14/10/2024,O+,Cryoprecipitate,2,10,42
355,1,Toril District Hospital,21/10/2024,O+,Cryoprecipitate,2,10,43
356,1,Toril District Hospital,28/10/2024,O+,Cryoprecipitate,2,10,44
357,1,Toril District Hospital,04/11/2024,O+,Cryoprecipitate,2,11,45
358,1,Toril District Hospital,11/11/2024,O+,Cryoprecipitate,2,11,46
359,1,Toril District Hospital,18/11/2024,O+,Cryoprecipitate,1,11,47
360,1,Toril District Hospital,25/11/2024,O+,Cryoprecipitate,1,11,48
361,1,Toril District Hospital,02/12/2024,O+,Cryoprecipitate,2,12,49
362,1,Toril District Hospital,09/12/2024,O+,Cryoprecipitate,1,12,50
363,1,Toril District Hospital,16/12/2024,O+,Cryoprecipitate,2,12,51
364,1,Toril District Hospital,23/12/2024,O+,Cryoprecipitate,2,12,52
365,1,Toril District Hospital,30/12/2024,O+,Cryoprecipitate,1,12,53
366,1,Toril District Hospital,06/01/2025,O+,Cryoprecipitate,1,1,54
367,1,Toril District Hospital,13/01/2025,O+,Cryoprecipitate,1,1,55
368,1,Toril District Hospital,20/01/2025,O+,Cryoprecipitate,1,1,56
369,1,Toril District Hospital,27/01/2025,O+,Cryoprecipitate,2,1,57
370,1,Toril District Hospital,03/02/2025,O+,Cryoprecipitate,2,2,58
371,1,Toril District Hospital,10/02/2025,O+,Cryoprecipitate,2,2,59
372,1,Toril District Hospital,17/02/2025,O+,Cryoprecipitate,1,2,60
373,1,Toril District Hospital,24/02/2025,O+,Cryoprecipitate,2,2,61
374,1,Toril District Hospital,03/03/2025,O+,Cryoprecipitate,2,3,62
375,1,Toril District Hospital,10/03/2025,O+,Cryoprecipitate,1,3,63
376,1,Toril District Hospital,17/03/2025,O+,Cryoprecipitate,2,3,64
377,1,Toril District Hospital,24/03/2025,O+,Cryoprecipitate,2,3,65
378,1,Toril District Hospital,31/03/2025,O+,Cryoprecipitate,1,3,66
379,1,Toril District Hospital,07/04/2025,O+,Cryoprecipitate,2,4,67
380,1,Toril District Hospital,14/04/2025,O+,Cryoprecipitate,1,4,68
381,1,Toril District Hospital,21/04/2025,O+,Cryoprecipitate,1,4,69
382,1,Toril District Hospital,28/04/2025,O+,Cryoprecipitate,2,4,70
383,1,Toril District Hospital,05/05/2025,O+,Cryoprecipitate,2,5,71
384,1,Toril District Hospital,12/05/2025,O+,Cryoprecipitate,2,5,72
385,1,Toril District Hospital,19/05/2025,O+,Cryoprecipitate,2,5,73
386,1,Toril District Hospital,26/05/2025,O+,Cryoprecipitate,1,5,74
